Sample	Batch_no	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Province	District	Town_Village	Latitude_DD	Longitude_DD	Accuracy	Altitude_m	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	
HS0176	#026	RBGK	K001375648	Hordeum	spontaneum	24/05/1970	24	5	1970	Japan	Shizouka	Mishima	Mishima	35.12	138.92	Town level		5	0.19	NA	182	3.12	2.75	
HS0121	#031	RBGK	K001451999	Hordeum	spontaneum	01/04/1868	1	4	1868	Iran	Fars	Kazerun	Kazerun	29.62	51.66	Town level		5.2	0.901	NA	173	4.26	4.01	
HS0145	#031	RBGK	K001453015	Hordeum	spontaneum	29/04/1885	29	4	1885	Iran	Bushehr	Dashtestan	Dalaki	29.43	51.29	Town level		7.9	0.0435	NA	176	4.91	3.84	
HS0160	#031	RBGK	K001459035	Hordeum	spontaneum	1867	NA	NA	1867	Pakistan	Balochistan	Quetta	NA	30.18	67	District level		14	3.99	NA	174	6.74	7.9	
HS0155	#032	RBGK	K001453878	Hordeum	spontaneum	26/05/1900	26	5	1900	Turkmenistan	Ashgabat	Ashgabat	NA	37.94	58.38	DIstrict level		9.4	0.734	NA	182	9.05	6.8	
HS0156	#032	RBGK	K001453877	Hordeum	spontaneum	10/06/1909	10	6	1909	Kyrgyzstan	NA	NA	Karasu	41	75	Country level		7	9.4	1	178	9.1	9.1	
HS0158	#032	RBGK	K001453875	Hordeum	spontaneum	13/05/1895	13	5	1895	Kazakhstan	NA	NA	NA	NA	NA	NA		8.9	0.891	NA	181	3.79	3.19	
HS0061	#033	RBGK	K001451942	Hordeum	spontaneum	07/05/1994	7	5	1994	Israel	SouthernDistrict	Netivot	NA	31.41	34.61	District level		5.1	0.562	NA	189	6.01	5.5	
HS0025	#005	RBGK	K001434527	Hordeum	spontaneum	21/06/2017	21	6	2017	Armenia	Tavush	Road	Road	41.18	44.89	GPS		7.4	8.6	NA	190	16.1	16	
HS0026	#005	RBGK	K001434526	Hordeum	spontaneum	23/06/2017	23	6	2017	Armenia	Yerevan	Yerevan	NorNorq/Erebuni	40.15	44.54	GPS		1.9	43	NA	191	10.1	13	
HS0027	#005	RBGK	K001434525	Hordeum	spontaneum	23/06/2017	23	6	2017	Armenia	Yerevan	Yerevan	Hrazdan	40.18	44.5	GPS		11.1	12	NA	191	14.3	9.3	
HS0029	#005	RBGK	K001451990	Hordeum	spontaneum	1956	NA	NA	1956	Azerbaijan	Baku	Baku	Baku	40.39	49.88	District level		6.7	41	NA	189	20.7	29	
HS0030	#005	RBGK	K001451989	Hordeum	spontaneum	13/05/1912	13	5	1912	Azerbaijan	Baku	Baku	NA	40.39	49.88	District level		7.1	27	NA	183	11.5	13	
HS0038	#008	RBGK	K001451935	Hordeum	spontaneum	07/05/1994	7	5	1994	Israel	NorthIsrael	Haifa	Binyamina	32.52	34.97	Town level		7.7	6.7	NA	189	7.04	7	
HS0044	#008	RBGK	K001451926	Hordeum	spontaneum	20/04/1999	20	4	1999	Israel	UpperGalilee	Jazreel Valley	Bethlehem	32.74	35.19	Town level		7.7	35	-	187	14.4	13	
HS0091	#014	RBGK	K001451961	Hordeum	spontaneum	25/03/1980	25	3	1980	Iraq	Diyala	Balad Ruz	Mandali	33.92	45.4	Town level		6.8	10	1.6	184	13.4	12	
HS0092	#014	RBGK	K001451960	Hordeum	spontaneum	01/04/1962	1	4	1962	Iraq	Saladin	NA	Baiji/Haditha	34.58	42.99	District level		8.2	5.7	NA	183	13.5	11	
HS0093	#014	RBGK	K001451959	Hordeum	spontaneum	02/05/1974	2	5	1974	Iraq	Nineveh	NA	Nimrud	36.1	43.33	Town level		12	13	NA	184	17.5	21	
HS0094	#014	RBGK	K001451958	Hordeum	spontaneum	30/03/1962	30	3	1962	Iraq	AL Anbar	Rutba	Wadi Hawran	33.14	40.42	District level		5.2	5.5	NA	179	17.2	20	
HS0095	#014	RBGK	K001451968	Hordeum	spontaneum	21/05/1948	21	5	1948	Iraq	Nineveh	Mosul	NA	36.36	43.13	District level		4.9	3.47	NA	189	9.09	9.7	
HS0080	#015	RBGK	K001451946	Hordeum	spontaneum	16/04/1940	16	4	1940	Syria	NA	NA	NA	35	38	Country level		7	12	1.6	189	13.8	12	
HS0086	#015	RBGK	K001451950	Hordeum	spontaneum	19/04/1945	19	4	1945	Jordan	Maan	Wadi Musa	NA	30.21	35.47	District level		6.9	4.01	NA	187	13.7	10	
HS0101	#015	RBGK	K001451971	Hordeum	spontaneum	31/05/1948	31	5	1948	Iraq	Duhok	Akre	NA	36.73	43.88	District level		7.5	6.6	NA	189	12	9.1	
HS0102	#015	RBGK	K001451970	Hordeum	spontaneum	08/05/1947	8	5	1947	Iraq	Duhok	Bedhair	NA	37.1	42.53	District level		4.9	11	NA	186	10.1	9.5	
HS0103	#015	RBGK	K001451969	Hordeum	spontaneum	08/05/1932	8	5	1932	Iraq	NA	NA	NA	33	44	Country level		4.9	4.99	1.1	187	12.9	11	
HS0088	#018	RBGK	K001451955	Hordeum	spontaneum	16/04/1963	16	4	1963	Jordan	EastJordan	Zarqa	Azraq	31.798	36.6	GPS		3.3	15	NA	193	10.1	12	
HS0090	#018	RBGK	K001451962	Hordeum	spontaneum	08/07/1954	8	7	1954	Iraq	Diyala	NA	Jazira	34	44.94	Town level		4.3	4.19	NA	187	11.2	12	
HS0105	#018	RBGK	K001451976	Hordeum	spontaneum	27/05/1970	27	5	1970	Iraq	Sulaymaniyah	Sulaymaniyah	NA	35.47	45.43	District level		6.7	21	NA	185	11.2	16	
HS0106	#018	RBGK	K001451975	Hordeum	spontaneum	29/03/1960	29	3	1960	Iraq	Sulaymaniyah	Darbandikhan	NA	35.05	45.67	District level		5.4	8.7	NA	190	13.9	16	
HS0108	#018	RBGK	K001451978	Hordeum	spontaneum	08/05/1963	8	5	1963	Iraq	Erbil	Erbil	Salaheddin	36.21	44	Town level		4.1	0.801	NA	190	11.5	12	
HS0110	#018	RBGK	K001451987	Hordeum	spontaneum	08/05/1967	8	5	1967	Iraq	AL Anbar	Ar Rutba	NA	32.08	40.24	District level		6.8	3.87	NA	190	12.1	10	
HS0132	#019	RBGK	K001453001	Hordeum	spontaneum	10/04/1960	10	4	1960	Iran	Lorestan	Khorramabad	Khorramabad	33.49	48.36	Town level		6	13	NA	NA	NA	13	
HS0133	#019	RBGK	K001453026	Hordeum	spontaneum	15/04/1970	15	4	1970	Afghanistan	Bādghīs	NA	NA	35	63.75	Province level		3.5	3.53	NA	184	11.1	12	
HS0136	#019	RBGK	K001453023	Hordeum	spontaneum	26/09/1976	26	9	1976	Afghanistan	IBB	Kitab	Jebel Sumara	14.18	44.28	Town level		6.4	22	NA	185	6.69	10	
HS0137	#019	RBGK	K001453022	Hordeum	spontaneum	14/04/1970	14	4	1970	Afghanistan	Herat	Herat	Herat	34.34	62.2	Town level		5.8	9.1	NA	184	14.9	19	
HS0138	#019	RBGK	K001453021	Hordeum	spontaneum	16/05/1964	16	5	1964	Afghanistan	Baghlan	Baghlan	NA	35.98	68.77	District level		9	22	NA	183	7.82	11	
HS0083	#020	RBGK	K001451953	Hordeum	spontaneum	13/05/1976	13	5	1976	Jordan	Irbid	BaniKinanah	ALHemma	32.65	35.73	District level		3.7	3.15	NA	190	20.7	24	
HS0087	#020	RBGK	K001451957	Hordeum	spontaneum	13/05/1976	13	5	1976	Jordan	Jerash	Jerash	NA	32.28	35.9	District level		6.6	12	NA	190	11.9	15	
HS0122	#020	RBGK	K001451998	Hordeum	spontaneum	07/05/1963	7	5	1963	Iran	West Azerbeijan	Urmia	Urmia	37.54	45.06	Town level		3.9	6.2	NA	193	13.7	19	
HS0123	#020	RBGK	K001451997	Hordeum	spontaneum	04/06/1964	4	6	1964	Iran	Hamadan	Hamadan	Hamadan	34.8	48.51	Town level		4.1	8.3	NA	193	18.4	20	
HS0124	#020	RBGK	K001451996	Hordeum	spontaneum	21/05/1976	21	5	1976	Iran	Golestan	Maraveh Tappeh	Maraveh Tappeh	37.9	55.96	Town level		5.2	2	NA	193	9.08	11	
HS0125	#020	RBGK	K001451995	Hordeum	spontaneum	14/05/1960	14	5	1960	Iran	Karmanshah	Karmanshah	NA	34.33	47.09	District level		8.4	17	NA	190	10.4	14	
HS0126	#020	RBGK	K001451994	Hordeum	spontaneum	30/04/1961	30	4	1961	Iran	Fars	Fasa	NA	28.98	53.63	District level		3.9	3.69	NA	189	23.1	27	
HS0127	#020	RBGK	K001453006	Hordeum	spontaneum	07/03/1946	7	3	1946	Iran	Khuzestan	Ahwaz	Ahwaz	31.3	48.68	Town level		4.1	6.9	NA	193	21.5	23	
HS0128	#020	RBGK	K001453005	Hordeum	spontaneum	05/05/1958	5	5	1958	Iran	Golestan	Dashli Borun	Nārlidāq	37.7	55.23	Town level		5.3	0.482	NA	189	8.8	9	
HS0129	#020	RBGK	K001453004	Hordeum	spontaneum	25/04/1929	25	4	1929	Iran	Qom	Qom	Qom	34.64	50.88	Town level		4.4	2.66	NA	183	18.3	20	
HS0149	#024	RBGK	K001453774	Hordeum	spontaneum	18/04/1959	18	4	1959	Libya	Cyernaica	Marj	Al Marj	32.47	20.83	Town level		6	11	NA	190	17.8	18	
HS0163	#024	RBGK	K001375641	Hordeum	spontaneum	02/11/1989	2	11	1989	Syria	Aleppo	Aleppo	Aleppo	36.2	37.16	Town level		6.7	8.8	NA	187	17	16	
HS0164	#024	RBGK	K001375642	Hordeum	spontaneum	1989	NA	NA	1989	Israel	Northern District	Upper Galilee	Rosh-Pina	32.97	35.54	Town level		4	5.7	NA	188	22.7	17	
HS0157	#026	RBGK	K001453876	Hordeum	spontaneum	04/06/1954	4	6	1954	Turkmenistan	Ashgabat	Ashgabat	Kopedag	37.94	58.38	Town level		9.8	16	NA	197	18.9	30	
HS0166	#026	RBGK	K001375645	Hordeum	spontaneum	02/07/1958	2	7	1958	NA	NA	NA	NA	NA	NA	Glasshouse		7.8	18	NA	191	9.96	15	
HS0171	#026	RBGK	K001375653	Hordeum	spontaneum	31/01/1961	31	1	1961	Afghanistan	NA	NA	NA	NA	NA	Glasshouse		5.2	18	NA	190	13.6	17	
HS0173	#026	RBGK	K001375651	Hordeum	spontaneum	25/05/1970	25	5	1970	Japan	Shizouka	Mishima	Mishima	35.12	138.92	Town level		8.3	1.76	NA	181	21.2	17	
HS0007	#031	RBGK	K001451888	Hordeum	spontaneum	14/05/1883	14	5	1883	Turkey	Balikesir	NA	NA	39.63	27.88	Province level		9.9	11	1.2	175	7.62	10	
HS0120	#031	RBGK	K001452000	Hordeum	spontaneum	01/05/1867	1	5	1867	NA	NA	NA	NA	NA	NA	NA		12	4.71	-	174	13.4	11	
HS0140	#031	RBGK	K001453019	Hordeum	spontaneum	14/05/1885	14	5	1885	Afghanistan	Baghdad	NA	NA	35	63.75	Province level		10.4	1.15	NA	178	20.3	15	
HS0141	#031	RBGK	K001453017	Hordeum	spontaneum	01/05/1822	1	5	1822	NA	NA	NA	NA	NA	NA	NA		6.1	3.46	NA	176	10.8	13	
HS0151	#031	RBGK	K001453772	Hordeum	spontaneum	10/04/1887	10	4	1887	Libya	Cyernaica	Derna	Derna	32.76	22.64	Town level		6.5	2.1	NA	174	15.5	13	
HS0168	#031	RBGK	K001375646	Hordeum	spontaneum	01/06/1885	1	6	1885	Germany	North Rhine-Westphalia	Bonn	Poppelsdorf	50.72	7.09	Town level		8.1	2.98	NA	173	12.4	12	
HS0169	#031	RBGK	K001375647	Hordeum	spontaneum	1890	NA	NA	1890	Germany	North Rhine-Westphalia	Bonn	Poppelsdorf	50.72	7.09	Town level		7.7	1.71	NA	173	12.8	10	
HS0147	#032	RBGK	K001453776	Hordeum	spontaneum	10/04/1933	10	4	1933	Libya	Cyernaica	Derna	Derna	32.76	22.64	Town level		3.9	1.33	NA	183	16.4	13	
HS0148	#032	RBGK	K001453775	Hordeum	spontaneum	14/04/1939	14	4	1939	Libya	Cyernaica	Matj	Tolmeta	32.71	20.94	Town level		5.3	7.1	NA	181	12.6	13	
HS0154	#032	RBGK	K001453879	Hordeum	spontaneum	07/05/1926	7	5	1926	Uzbekistan	Tashkent	NA	NA	41.3	69.3	Province level		8	8.1	-	179	12.2	12	
HS0167	#032	RBGK	K001375644	Hordeum	spontaneum	24/05/1936	24	5	1936	NA	NA	NA	NA	NA	NA	Glasshouse		4.5	11	NA	177	8.42	9.4	
HS0045	#033	RBGK	K001451928	Hordeum	spontaneum	10/05/1994	10	5	1994	Israel	Jerusalem	Jerusalem	BetShemesh	31.75	34.99	Town level		13.2	28	NA	193	20.9	22	
HS0028	#005	RBGK	K001434268	Hordeum	vulgare	13/08/2015	13	8	2015	Armenia	Yerevan	Yerevan	Tokhmakh Cementary	40.15	44.53	GPS		5.7	34	NA	194	26.9	31	
HV0031	#012	RBGK	K001451051	Hordeum	vulgare	17/05/1877	17	5	1877	France	Ile-de-France	Essonne	Milly-la-Foret	48.4	2.47	Town level		5.5	1.09	NA	182	13.6	12	
HV0032	#012	RBGK	K001451050	Hordeum	vulgare	16/07/1876	16	7	1876	France	Ile-de-France	Paris	NA	48.86	2.35	Town level		5.9	1.87	NA	182	12.1	7.9	
HV0053	#022	RBGK	K001453052	Hordeum	vulgare	13/04/1947	13	4	1947	Iraq	Kirkuk	Kirkuk	NA	35.47	44.32	District level		7.9	7.5	1.1	184	13.6	13	
HV0054	#022	RBGK	K001453053	Hordeum	vulgare	13/04/1947	13	4	1947	Iraq	Kirkuk	Kirkuk	NA	35.47	44.32	District level		8.5	2.53	NA	180	17.9	16	
HV0057	#022	RBGK	K001453057	Hordeum	vulgare	11/03/1960	11	3	1960	Iraq	Baghdad	NA	NA	33.3	44.39	Province level		8.5	11	NA	185	13.4	13	
HV0058	#022	RBGK	K001453055	Hordeum	vulgare	12/04/1947	12	4	1947	Iraq	Diyala	Kifri	NA	34.68	44.97	District level		6.4	9.1	NA	184	24.2	22	
HV0060	#022	RBGK	K001453064	Hordeum	vulgare	23/04/1842	23	4	1842	Iran	NA	NA	NA	NA	NA	NA		3.4	1.48	NA	182	26.5	22	
HV0061	#022	RBGK	K001453071	Hordeum	vulgare	23/04/1842	23	4	1842	Iran	Fars	Marvdasht	Persepolis	29.93	52.87	Town level		6.5	6.6	1.5	185	16.1	15	
HV0062	#022	RBGK	K001453062	Hordeum	vulgare	04/07/1948	4	7	1948	Iran	Alborz	NA	NA	35.93	50.9	Province level		9	15	NA	180	14	16	
HV0026	#032	RBGK	K001451045	Hordeum	vulgare	1906	NA	NA	1906	NA	NA	NA	NA	NA	NA	NA		11.5	4.27	-	180	18.7	16	
HV0065	#033	RBGK	K001453087	Hordeum	vulgare	17/04/1990	17	4	1990	Kuwait	Al Jahra	NA	NA	29.16	47.23	Road level		4.5	8.1	1.7	191	26.1	25	
HV0073	#033	RBGK	K001453075	Hordeum	vulgare	06/04/1983	5	4	1983	Saudi Arabia	NorthernBorders	Turaif	Turaif	31.39	39.29	GPS		5	3.13	NA	187	27.2	25	
HV0091	#033	RBGK	K001453779	Hordeum	vulgare	16/03/1970	16	3	1970	Libya	NA	Jabal al Gharbi	Jebel Nefoussa	31.81	12.13	District level		11.5	4.53	NA	184	25	30	
HV0093	#033	RBGK	K001453777	Hordeum	vulgare	16/03/1970	16	3	1970	Libya	NA	Jabal al Gharbi	Jebel Nefoussa	31.38	12.44	District level		5.7	12	1.5	190	15.1	15	
HV0094	#033	RBGK	K001453783	Hordeum	vulgare	15/03/1970	15	3	1970	Libya	NA	Jabal al Gharbi	Yefren	32.06	12.53	Town level		6.2	3.3	NA	185	28.2	28	
HV0030	#034	RBGK	K001451052	Hordeum	vulgare	1827	NA	NA	1827	France	Auvergne-Rh�ne-Alpes	Chamonix 	Zarmatten	45.92	6.87	Town level		9.8	2.64	NA	182	18.3	10	
HV0049	#034	RBGK	K001453045	Hordeum	vulgare	1867	NA	NA	1867	Iraq	Baghdad	NA	NA	33.3	44.39	Province level		15	5.8	NA	183	20.8	15	
HV0075	#034	RBGK	K001453097	Hordeum	vulgare	1819	NA	NA	1819	Egypt	Alexandria	Alexandria	Alexandria	31.17	29.88	District level		10.8	0.357	NA	183	26.5	17	
HV0076	#034	RBGK	K001453096	Hordeum	vulgare	1826	NA	NA	1826	Egypt	Alexandria	Alexandria	Alexandria	31.17	29.88	District level		14	0.27	NA	179	19.2	9.8	
HV0080	#034	RBGK	K001453089	Hordeum	vulgare	1849	NA	NA	1849	Jordan	NA	NA	NA	30	35.25	Country level		9.8	1.17	NA	179	19.2	11	
HV0081	#034	RBGK	K001453098	Hordeum	vulgare	1867	NA	NA	1867	India	Uttarakhand	Kumaon	NA	30.36	80.15	District level		7.6	12	1.6	183	15.9	15	
HV0082	#034	RBGK	K001453100	Hordeum	vulgare	1867	NA	NA	1867	China	Lhasa	Dagzê	Kyunglung	31.03	80.58	Town level		5	2.56	NA	188	19.2	13	
HV0083	#034	RBGK	K001453099	Hordeum	vulgare	1867	NA	NA	1867	Afghanistan	NA	NA	NA	34.5	69.25	Country level		8.1	2.16	NA	188	23.6	16	
HV0085	#034	RBGK	K001453102	Hordeum	vulgare	1820	NA	NA	1820	NA	NA	NA	NA	NA	NA	NA		6.4	0.994	NA	179	19.7	12	
HV0033	#036	RBGK	K001451058	Hordeum	vulgare	08/06/1986	8	6	1986	Spain	CastilleLeon	Burgos	Covanera	42.73	-3.8	Town level		7.9	12	NA	186	9.27	9.7	
HV0069	#036	RBGK	K001453078	Hordeum	vulgare	28/10/1975	28	10	1975	Yemen	Ibb	Hubaysh	Yerim Hill	14.07	44.3	GPS		7.4	0.819	NA	185	13.1	12	
HV0070	#036	RBGK	K001453077	Hordeum	vulgare	21/10/1975	21	10	1975	Yemen	Taiz	Taiz	Jebel Sabir	13.51	44.05	Town level		7.8	7.3	NA	183	18	17	
HV0071	#036	RBGK	K001453076	Hordeum	vulgare	12/05/1977	12	5	1977	Yemen	Dhamar	Jahran	Mabar	14.79	44.29	Town level		11.9	9	NA	185	14.9	14	
HV0072	#036	RBGK	K001453083	Hordeum	vulgare	26/04/1979	26	4	1979	Qatar	Zone71	Umm Salal	Umm Salal Muhammed	25.42	51.4	Town level		4.4	1.02	NA	182	18.6	17	
HV0084	#036	RBGK	K001453101	Hordeum	vulgare	06/05/1971	6	5	1971	Afghanistan	Kandahar	Kandahar	Kandahar	31.62	65.72	Town level		5	6.3	NA	188	14.2	12	
HRG0841	#001	RBGK	K000631581	Oryza	rufipogon	16/10/1928	16	10	1928	Thailand	Sa Kaeo	Aranyaprathet	Aranyaprathet	13.69	102.5	Town level		8.3	1.5	NA	178	5.62	11	
HRG0842	#001	RBGK	K000631582	Oryza	rufipogon	16/10/1928	16	10	1928	Thailand	Sa Kaeo	Aranyaprathet	Aranyaprathet	13.69	102.5	Town level		6.2	1.01	NA	177	2.26	5.3	
HRG0843	#001	RBGK	K000631585	Oryza	rufipogon	10/09/1930	10	9	1930	Thailand	Chonburi	NA	Utapao	12.67	100.99	Town level		11	9.9	1	184	14.1	32	
HRG0844	#001	RBGK	K000631586	Oryza	rufipogon	28/12/1929	28	12	1929	Thailand	Ang Thong	NA	NA	14.59	100.46	Province level		9.1	5.1	1	183	18.3	40	
HRG0845	#003	RBGK	K000631587	Oryza	rufipogon	28/12/1929	28	12	1929	Thailand	Ang Thong	NA	NA	14.59	100.46	Province level		9.7	2.75	NA	178	7.84	16	
HRG0846	#003	RBGK	K000631588	Oryza	rufipogon	28/12/1929	28	12	1929	Thailand	Ang Thong	NA	NA	14.59	100.46	Province level		9.5	4.61	NA	182	4.67	11	
HRG0847	#001	RBGK	K000631589	Oryza	rufipogon	22/11/1927	22	11	1927	Thailand	Chon Buri	Bang Lamung	Laem Chabang	13.08	100.89	Town level		14.5	11	NA	183	20.8	54	
HRG0848	#001	RBGK	K000631590	Oryza	rufipogon	22/11/1927	22	11	1927	Thailand	Chon Buri	Bang Lamung	Laem Chabang	13.08	100.89	Town level		14.1	21	-	182	16.5	39	
HRG0849	#003	RBGK	K000631592	Oryza	rufipogon	09/11/1926	9	11	1926	Thailand	Phetchaburi	NA	NA	13.11	99.94	Province level		8.5	2.19	NA	180	7.06	17	
HRG0850	#001	RBGK	K000682204	Oryza	rufipogon	25/11/1988	25	11	1988	Thailand	Nakhon Ratchasima	Chok Chai	Chok Chai	14.73	102.16	Town level		9.4	14	1.1	188	19.9	48	
HRG0851	#001	RBGK	K000682205	Oryza	rufipogon	25/11/1988	25	11	1988	Thailand	Nakhon Ratchasima	Chok Chai	Chok Chai	14.73	102.16	Town level		9.1	6.4	1.2	189	19.8	53	
HRG0852	#001	RBGK	K000682206	Oryza	rufipogon	25/11/1988	25	11	1988	Thailand	Buri Ram	Prakhon Chai	Pakhon	14.61	103.12	District level		8.2	8.4	1	194	19.2	44	
HRG0853	#001	RBGK	K000682207	Oryza	rufipogon	26/11/1988	26	11	1988	Thailand	Surin	Mueang Surin	Nok Mueang	14.88	103.49	Town level		11.5	14	1	191	19.4	48	
HRG0854	#003	RBGK	K000682210	Oryza	rufipogon	23/01/1955	23	1	1955	Thailand	Bangkok	Nonthan Buri	Bang Phlat	13.79	100.5	Town level		8.7	8	1.3	180	4.92	13	
HRG0855	#003	RBGK	K000682212	Oryza	rufipogon	11/11/1961	11	11	1961	Thailand	Kanchanaburi	Mueang Kanchanaburi	Ban Kao	13.87	99.15	Town level		6.4	6.2	1.6	180	5.73	14	
HRG0856	#003	RBGK	K000682213	Oryza	rufipogon	27/08/1972	27	8	1972	Thailand	Chanthaburi	Khao Khitchakut	Khao Pra bat	12.83	102.18	Town level		7	1.2	NA	187	4.15	9.7	
HRG0857	#003	RBGK	K000682214	Oryza	rufipogon	14/11/1965	14	11	1965	Thailand	Bangkok	Phra Nakhon	Krungthep	13.76	100.5	Town level		9.7	0.525	NA	78	0.341	0.618	
HRG0858	#003	RBGK	K000682218	Oryza	rufipogon	06/11/1984	6	11	1984	Thailand	Prachinburi	NA	NA	14.05	101.37	Province level		9.9	9.2	1.4	180	4.17	13	
HRB0113	#027	NYBGUS	1758829	Oryza	latifolia	10/07/1937	10	7	1937	Mexico				15.322	-92.66		NA	9.1	0.619	NA	176	2.02	1.88	
HRB0114	#027	NYBGUS	1758830	Oryza	latifolia	17/10/1960	17	10	1960	Mexico				21.15	-104.956		600	4.8	2.54	-	183	15.6	21	
HRB0116	#027	NYBGUS	651828	Oryza	latifolia	03/03/1984	3	3	1984	Mexico				17.25	-94.58		100	7.4	0	NA	179	1.72	1.67	
HRB0117	#027	NYBGUS	NA	Oryza	latifolia	30/07/1972	30	7	1972	Nicaragua				11.63	-84.81		NA	4.7	2.56	NA	186	22.3	22	
HRB0118	#027	NYBGUS	NA	Oryza	latifolia	13/07/1971	13	7	1971	Panama				8.113	-77.701		NA	6.2	3.73	1.4	183	19.8	21	
HRB0119	#027	NYBGUS	NA	Oryza	latifolia	07/06/1976	7	6	1976	Costa Rica				9.605	-82.795		30	8.1	5.7	1.4	181	15	15	
HRB0120	#027	NYBGUS	1051527	Oryza	latifolia	03/04/1914	3	4	1914	Puerto Rico				18.2	-67.11		NA	7.2	0.862	NA	172	10.3	9.1	
HRB0121	#027	NYBGUS	1604484	Oryza	latifolia	11/08/1903	11	8	1903	Haiti				19.812	-72.431		0m	4.3	1.57	-	183	24.6	22	
HRB0122	#027	NYBGUS	651826	Oryza	latifolia	02/04/1957	2	4	1957	Brazil				-28.298	-48.88		2-10m	6.9	0.0347	NA	180	1.9	1.98	
HRB0123	#027	NYBGUS	651825	Oryza	latifolia	17/04/1912	17	4	1912	Brazil				-24	-47		NA	5.4	1.95	1	182	23	20	
HRB0124	#028	NYBGUS	2618203	Oryza	latifolia	27/02/1986	27	2	1986	Brazil				-0.892	-52.47		NA	6.8	7.2	NA	182	12.6	13	
HRB0125	#028	NYBGUS	2618206	Oryza	latifolia	27/10/1987	27	10	1987	Brazil				3.434	-71.735		NA	9.1	0.128	NA	178	3.67	3.36	
HRB0126	#028	NYBGUS	2618207	Oryza	latifolia	15/05/1929	15	5	1929	Brazil				-4.9	-56.36		NA	9	0.536	NA	173	3.35	2.78	
HRB0127	#028	NYBGUS	2618209	Oryza	latifolia	18/10/1960	18	10	1960	Brazil				3.6	-51.4		NA	6.6	0.629	NA	179	6.24	5.1	
HRB0128	#028	NYBGUS	2618212	Oryza	latifolia	31/03/1953	31	3	1953	Venezuela				2.94	-65.37		150m	8.6	3.29	1	184	17.4	14	
HRB0129	#028	NYBGUS	NA	Oryza	latifolia	22/02/1962	22	2	1962	French Guiana				5.12	-52.66		NA	3.7	2.09	NA	183	19	17	
HRB0130	#028	NYBGUS	NA	Oryza	latifolia	28/09/1992	28	9	1992	Guyana				2.75	-59.83		150-250m	2.4	3.55	NA	184	7.98	7.2	
HRB0132	#028	NYBGUS	NA	Oryza	latifolia	23/10/1898	23	10	1898	Colombia				11.235	-74.114		250ft	6	0.717	NA	177	16.7	12	
HRB0133	#028	NYBGUS	NA	Oryza	latifolia	15/01/1918	15	1	1918	Colombia				7	-74		110-120m	14.6	2.43	1.5	178	24.3	19	
HRB0134	#028	NYBGUS	NA	Oryza	latifolia	20/12/1990	20	12	1990	Colombia				8.2	-76.6		NA	7.9	5.2	1	175	10.1	11	
HRB0135	#029	NYBGUS	NA	Oryza	latifolia	06/05/1987	6	5	1987	Ecuador				-2.73	-79.95		0m	3.2	3.67	NA	188	11.4	13	
HRB0136	#029	NYBGUS	NA	Oryza	latifolia	05/05/1988	5	5	1988	Ecuador				-1.06	-77.7		400m	4.6	3.85	NA	185	11	15	
HRB0137	#029	NYBGUS	NA	Oryza	latifolia	15/05/1988	15	5	1988	Ecuador				0.8	-80.05		30m	3.7	3.92	NA	183	13	22	
HRB0138	#029	NYBGUS	NA	Oryza	latifolia	03/01/1985	3	1	1985	Bolivia				-16.2	-62.1		500m	5.5	2.37	NA	184	16.2	24	
HRB0140	#029	NYBGUS	NA	Oryza	latifolia	03/06/1982	3	6	1982	Bolivia				-11.08	-66.15		220m	4.5	2.93	NA	181	17.2	23	
HRB0141	#029	NYBGUS	NA	Oryza	latifolia	10/11/1990	10	11	1990	Bolivia				-14.55	-62.66		NA	7.5	4.9	NA	179	15.2	19	
HRB0142	#029	NYBGUS	NA	Oryza	latifolia	21/06/1963	21	6	1963	Trinidad				10.3	-61.07		NA	7.4	3.56	1.7	181	15.4	17	
HRB0143	#029	NYBGUS	NA	Oryza	latifolia	14/05/1949	14	5	1949	Suriname				5.77	-56.63		MA	5.1	0.285	NA	177	5.49	5.4	
HRB0144	#029	NYBGUS	NA	Oryza	latifolia	01/09/1966	1	9	1966	Venezuela				9.76	-66.51		NA	5.4	1.89	NA	181	21.9	26	
HRB0145	#029	NYBGUS	NA	Oryza	latifolia	25/07/1988	25	7	1988	Peru				-3.69	-73.26		90m	7.1	5.2	1.3	181	13.6	26	
HRB0181	#030	SIHUS	2205508	Oryza	grandiglumis	10/06/1952	10	6	1952	Brazil				-12.625	-63.12		NA	4.4	0.216	NA	179	2.03	1.84	
HRB0182	#030	SIHUS	2769696	Oryza	grandiglumis	24/07/1973	24	7	1973	Brazil				-4.24	-69.94		NA	4	1.16	NA	184	23.9	30	
HRB0183	#030	SIHUS	3142921 (00703435)	Oryza	grandiglumis	15/03/1987	15	3	1987	French Guiana				4.51	-52.05		NA	5.9	6.4	NA	186	13.8	23	
HRB0184	#030	SIHUS	3010017	Oryza	grandiglumis	16/04/1971	16	4	1971	Brazil				-7.62	-72.85		NA	4.5	0.267	NA	179	0.0961	0.294	
