Sample	Endogenous_fraction	NO_MERGED_READS	DUP_rate	MEDIAN_SIZE	Log_Mean	Lambda	Lambda_R_squared	Lambda_p_value	X5P_DMG_POS1	X5P_DMG_R_squared	X5P_DMG_p_value	Sample_ID	Batch_no	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Province	District	Town_Village	Latitude_DD	Longitude_DD	Accuracy	Altitude_m	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	3P_DMG_POS1	5P_other_freq	3P_other_freq
3359103_AB_65230_S100	96.31	8685848	0.34	56	4.03000156759	0.0388970319565907	0.983171741051478	2.07789172953756e-115	0.0052902160973121	0.632669396926819	1.23934842365301e-05	HS0045	#033	RBGK	K001451928	Hordeum	spontaneum	10/05/1994	10	5	1994	Israel	Jerusalem	Jerusalem	BetShemesh	31.75	34.99	Town level		13.2	28	NA	193	20.9	22	0.00558357195959984	0.00378661564368916	0.00390688560458283
3359104_AB_65253_S101	96.36	10680975	0.36	57	4.04218510518955	0.0321921751658638	0.983290551093869	2.18914546352144e-117	0.00784476953060269	0.723779617278605	8.04469782100785e-07	HV0065	#033	RBGK	K001453087	Hordeum	vulgare	17/04/1990	17	4	1990	Kuwait	Al Jahra	NA	NA	29.16	47.23	Road level		4.5	8.1	1.7	191	26.1	25	0.00867839180621258	0.00182743819796585	0.00204265798717022
3359105_AB_65256_S102	97.17	9351434	0.35	53	3.98698905362188	0.0348349085826902	0.989035821359238	3.90772928580715e-137	0.00821475641463815	0.698518351544758	1.89588532559766e-06	HV0073	#033	RBGK	K001453075	Hordeum	vulgare	06/04/1983	5	4	1983	Saudi Arabia	NorthernBorders	Turaif	Turaif	31.39	39.29	GPS		5	3.13	NA	187	27.2	25	0.00850296516516382	0.00202507314384374	0.00218141011696007
3359106_AB_65257_S103	95.7	13384141	0.36	47	3.8734090707263	0.0599219115366935	0.990309846846197	7.47016055736181e-143	0.0130953858110636	0.763161522596844	2.69198259813341e-07	HV0091	#033	RBGK	K001453779	Hordeum	vulgare	16/03/1970	16	3	1970	Libya	NA	Jabal al Gharbi	Jebel Nefoussa	31.81	12.13	District level		11.5	4.53	NA	184	25	30	0.0136621182150401	0.00190085089034467	0.00204185554712495
3359107_AB_65166_S104	97.6	10243781	0.36	53	3.9785365362409	0.0469963109012357	0.98251844876807	4.12669344913141e-116	0.00762905549174308	0.776825269281778	1.29703061547903e-07	HV0093	#033	RBGK	K001453777	Hordeum	vulgare	16/03/1970	16	3	1970	Libya	NA	Jabal al Gharbi	Jebel Nefoussa	31.38	12.44	District level		5.7	12	1.5	190	15.1	15	0.00794180025941562	0.00160544201565861	0.00170580722984103
3359108_AB_65298_S105	96.43	10418691	0.33	51	3.9565078691042	0.0428492947665442	0.995161899745584	5.15028047021728e-157	0.00754202026987666	0.69580714521647	1.85917260811945e-06	HV0094	#033	RBGK	K001453783	Hordeum	vulgare	15/03/1970	15	3	1970	Libya	NA	Jabal al Gharbi	Yefren	32.06	12.53	Town level		6.2	3.3	NA	185	28.2	28	0.00815652095421015	0.00276217006588391	0.00300748817623649
3359109_EB33_S106	34.42	13623	0.09	44	3.81382199586073	0.064169109280471	0.942733301422471	6.0400316834235e-92	0.0204853450992751	0.700843435351923	3.06371586072018e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.021478981282602	0.00259604364291274	0.00255060670811071
3359110_LB33_S107	93.59	28218	0.14	56	4.03314651218296	0.0309449153359943	0.954612087276922	1.6173986665434e-90	0.0125162548764629	0.437727071290494	0.000514983806005326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00861656294877932	0.00349271998255224	0.00280761408068521
3359111_AB_65251_S108	93.99	15891150	0.3	42	3.74899272449294	0.0836411871110689	0.994763346482515	1.06459549112172e-170	0.0116954649114884	0.802248067816518	5.48824344887879e-08	HV0030	#034	RBGK	K001451052	Hordeum	vulgare	1827	NA	NA	1827	France	Auvergne-Rh�ne-Alpes	Chamonix 	Zarmatten	45.92	6.87	Town level		9.8	2.64	NA	182	18.3	10	0.0121295038697711	0.00194748974667507	0.00197337091131673
3359112_AB_65221_S109	95.2	15850351	0.29	41	3.74561358940748	0.0792103701641965	0.997341067625642	1.75786546567862e-192	0.0129493817636314	0.812797815122257	4.57432828169179e-08	HV0049	#034	RBGK	K001453045	Hordeum	vulgare	1867	NA	NA	1867	Iraq	Baghdad	NA	NA	33.3	44.39	Province level		15	5.8	NA	183	20.8	15	0.0135011577213303	0.00163951138193025	0.00169639133586689
3359113_AB_65222_S110	66.23	9115835	0.3	44	3.81367460630033	0.0609222204906712	0.996487816967099	4.43511519017187e-181	0.0156289016543472	0.749406855915643	6.05819214763459e-07	HV0075	#034	RBGK	K001453097	Hordeum	vulgare	1819	NA	NA	1819	Egypt	Alexandria	Alexandria	Alexandria	31.17	29.88	District level		10.8	0.357	NA	183	26.5	17	0.0158452614728705	0.0020113960213235	0.00194981172119018
3359114_AB_65201_S111	87.62	18491336	0.29	40	3.70889661105717	0.084230439680725	0.99662064373508	2.99532827822422e-187	0.0254684985447947	0.803865042533206	2.28350411449827e-07	HV0076	#034	RBGK	K001453096	Hordeum	vulgare	1826	NA	NA	1826	Egypt	Alexandria	Alexandria	Alexandria	31.17	29.88	District level		14	0.27	NA	179	19.2	9.8	0.0257876744812292	0.00262182619408516	0.00250778153969708
3359115_AB_65164_S112	94.69	16806360	0.27	40	3.720498947865	0.0815445475296128	0.999041181369546	2.91594595471569e-225	0.0219486450265044	0.826341563710652	5.72242832512896e-08	HV0080	#034	RBGK	K001453089	Hordeum	vulgare	1849	NA	NA	1849	Jordan	NA	NA	NA	30	35.25	Country level		9.8	1.17	NA	179	19.2	11	0.0223264556659	0.00221580503133786	0.00212996880787592
3359116_AB_65223_S113	96.23	11013160	0.3	46	3.85842123807348	0.058222606691815	0.99174170049453	6.91681414486207e-152	0.00962020376085292	0.755128551604337	3.02432515426377e-07	HV0081	#034	RBGK	K001453098	Hordeum	vulgare	1867	NA	NA	1867	India	Uttarakhand	Kumaon	NA	30.36	80.15	District level		7.6	12	1.6	183	15.9	15	0.0103388572303104	0.00161405797831823	0.001734600467133
3359117_AB_65165_S114	93.99	15922284	0.37	52	3.9739910167805	0.0332774499032903	0.992069451391134	6.03992072599182e-149	0.0112496071888737	0.661648468349115	4.85641626655457e-06	HV0082	#034	RBGK	K001453100	Hordeum	vulgare	1867	NA	NA	1867	China	Lhasa	Dagzê	Kyunglung	31.03	80.58	Town level		5	2.56	NA	188	19.2	13	0.0117139886562471	0.00240354784814113	0.00263693978036344
3359118_AB_65319_S115	91.15	13137916	0.35	51	3.96054319830175	0.0352695595362263	0.994492010527472	2.73353191490168e-162	0.0113833922500189	0.72876418410951	7.89274571077484e-07	HV0083	#034	RBGK	K001453099	Hordeum	vulgare	1867	NA	NA	1867	Afghanistan	NA	NA	NA	34.5	69.25	Country level		8.1	2.16	NA	188	23.6	16	0.0117972394980424	0.00252794656951448	0.00281435721258266
3359119_AB_65320_S116	92.89	19518605	0.3	40	3.71460991681227	0.080132881058522	0.998842097826576	3.37320040041481e-219	0.0151164023230255	0.828796716313407	2.22095087772437e-08	HV0085	#034	RBGK	K001453102	Hordeum	vulgare	1820	NA	NA	1820	NA	NA	NA	NA	NA	NA	NA		6.4	0.994	NA	179	19.7	12	0.0155020299244557	0.00201946684437836	0.00201778371970537
3359120_EB34_S117	28.16	18447	0.12	55	4.01155819017079	0.0322006312156974	0.950351504476694	3.56800334350025e-93	0.014500537056928	0.337650214542312	0.00255879895169347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00915903413821815	0.00484046066925052	0.00401217141604423
3359121_LB34_S118	89.44	18378	0.09	51	3.95222468924594	0.0397376953096436	0.958750585933649	1.38389956164211e-101	0.0129118432769368	0.255500749458297	0.00917967178156712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00598664517614552	0.00407310785518643	0.00366782471800951
3359122_AB_65293_S119	98.18	7445138	0.31	46	3.85250569379519	0.053999045854921	0.99225786126174	5.09957678350953e-156	0.00453198778269695	0.739983411078536	4.43559552198033e-07	HV0033	#036	RBGK	K001451058	Hordeum	vulgare	08/06/1986	8	6	1986	Spain	CastilleLeon	Burgos	Covanera	42.73	-3.8	Town level		7.9	12	NA	186	9.27	9.7	0.00502172847466437	0.00136846045874078	0.00147354801755221
3359123_AB_65199_S120	94.5	8758115	0.31	46	3.84423064505125	0.057358136871885	0.995115737968579	2.60962557523157e-168	0.0102007411218064	0.721539489178778	9.10193783030739e-07	HV0069	#036	RBGK	K001453078	Hordeum	vulgare	28/10/1975	28	10	1975	Yemen	Ibb	Hubaysh	Yerim Hill	14.07	44.3	GPS		7.4	0.819	NA	185	13.1	12	0.0103399801507767	0.00225934584465316	0.00242577309301059
3359124_AB_65254_S121	97.05	10710397	0.31	45	3.82289890525752	0.0695530075496181	0.99308139935863	2.93639528139485e-155	0.00961644943509435	0.889345186689116	4.60092556063361e-10	HV0070	#036	RBGK	K001453077	Hordeum	vulgare	21/10/1975	21	10	1975	Yemen	Taiz	Taiz	Jebel Sabir	13.51	44.05	Town level		7.8	7.3	NA	183	18	17	0.0104418192514952	0.00152911769541333	0.00160041855475136
3359125_AB_65255_S122	97.38	10548315	0.34	50	3.92362385275544	0.0475533017583632	0.99275829457105	2.80846911999234e-145	0.00826431988396257	0.779742706463164	1.1846670920916e-07	HV0071	#036	RBGK	K001453076	Hordeum	vulgare	12/05/1977	12	5	1977	Yemen	Dhamar	Jahran	Mabar	14.79	44.29	Town level		11.9	9	NA	185	14.9	14	0.00859995229437074	0.00163320947082027	0.00177062667846949
3359126_AB_65200_S123	95.69	10254998	0.33	48	3.89717651724885	0.0458094955172706	0.993706282315836	3.53833127374165e-158	0.00770861561839687	0.747634940264185	3.55525642852166e-07	HV0072	#036	RBGK	K001453083	Hordeum	vulgare	26/04/1979	26	4	1979	Qatar	Zone71	Umm Salal	Umm Salal Muhammed	25.42	51.4	Town level		4.4	1.02	NA	182	18.6	17	0.00799366730854129	0.00192431121344889	0.00210792868948299
3359127_AB_65224_S124	97.59	6685466	0.33	49	3.91337368980155	0.0475124522284297	0.987677531633681	1.85022111530097e-137	0.00565195260289341	0.745889763141899	3.59268235684571e-07	HV0084	#036	RBGK	K001453101	Hordeum	vulgare	06/05/1971	6	5	1971	Afghanistan	Kandahar	Kandahar	Kandahar	31.62	65.72	Town level		5	6.3	NA	188	14.2	12	0.00624505186793646	0.00163320195777958	0.00180312427754791
3359128_EB36_S125	43.07	17961	0.1	49	3.90025460395472	0.0540153259572203	0.95855008291744	2.81452607608239e-97	0.0156505489371642	0.453757764199687	0.000366826226199542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0179694519317161	0.00362525515707916	0.0028623935138686
3359129_LB36_S126	83.08	13406	0.08	45	3.83271656112824	0.05745983981903	0.947204332340531	6.04433770619821e-92	0.0278587625526401	0.65266626445723	1.20427596759204e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0238532110091743	0.00506074053806853	0.00404927520877562
3359134_AB_65299_S127	97.6	541219	0.25	36	3.61249957495611	0.115835896581989	0.985292095807072	3.52646513856006e-141	0.00771127762496443	0.805530360270342	4.35071362499993e-08	HS0021	#005	RBGK	K001451903	Hordeum	spontaneum	27/03/1936	27	3	1936	Cyprus	SouthCyprus	Aronas	Athalassa	35.13	33.41	Town level		9.4	24	NA	150	1.21	2.17	0.00766197813260256	0.00190025463222767	0.00184533863543057
3359135_AB_65259_S128	97.46	655461	0.27	39	3.68145103968303	0.0873009964039657	0.987851988658655	1.18053272681144e-143	0.00806957977721448	0.709618902495203	1.30114699976441e-06	HS0022	#005	RBGK	K001451902	Hordeum	spontaneum	27/03/1936	27	3	1936	Cyprus	SouthCyprus	Aronas	Athalassa	35.13	33.41	Town level		5.9	23	NA	168	1.28	2.09	0.00669150752988666	0.00212870110423118	0.00194103885135147
3359136_AB_65141_S129	94.66	950979	0.26	41	3.7406103985901	0.0716874727876114	0.996771052161238	3.07103446441114e-186	0.00716845878136201	0.745355894641167	3.95946606171315e-07	HS0023	#005	RBGK	K001434524	Hordeum	spontaneum	14/06/2017	14	6	2017	Armenia	Syunik	NA	Road	38.91	46.38	GPS		6.2	6.2	NA	181	0.04	0.418	0.0065317911416723	0.00381355926755636	0.00386550899399732
3359137_AB_65300_S130	48.29	4512590	0.31	47	3.8783256499612	0.0486078097281979	0.989012010472602	6.4330643286788e-145	0.00800217905687058	0.751998634053785	2.83632255110001e-07	HS0024	#005	RBGK	K001434528	Hordeum	spontaneum	14/06/2017	14	6	2017	Armenia	Syunik	NA	Kerchevan	38.9	46.18	GPS		6.4	3.35	NA	190	1.49	2.01	0.00812050004915712	0.00335170344042169	0.00374985720250794
3359138_AB_65182_S131	19.5	2127990	0.27	41	3.7364594699756	0.0707765041439234	0.99277597909386	1.67166309816661e-162	0.0134286446376933	0.75125938737862	3.37635831880511e-07	HS0039	#008	RBGK	K001451933	Hordeum	spontaneum	05/05/1994	5	5	1994	Israel	Jerusalem	Jerusalem	Avizohas	31.78	35.23	Town level		4.6	0.425	NA	179	0.567	0.596	0.0133889112618526	0.00310586218020276	0.00322798135269796
3359139_AB_65302_S132	95.28	11505294	0.36	55	4.01670699732973	0.025522862528752	0.987690306020428	1.71885216430822e-137	0.00767681912409767	0.657048914161904	5.79960935674387e-06	HS0040	#008	RBGK	K001451932	Hordeum	spontaneum	06/05/1994	6	5	1994	Israel	Northern District	Upper Galilee	Rosh-Pina	32.95	35.53	Town level		9.1	3.39	NA	195	1.56	1.65	0.00756403067114879	0.00407366844201595	0.00424357938336387
3359140_AB_65281_S133	93.4	13113408	0.36	55	4.02384475504337	0.0289331659359007	0.994906779168143	1.61126817129242e-155	0.00655020230388642	0.728635021364433	7.01588765337773e-07	HS0041	#008	RBGK	K001451931	Hordeum	spontaneum	09/05/1994	9	5	1994	Israel	SouthernDistrict	Shephelah	Revadim	31.77	34.82	Town level		5.3	2.7	NA	189	6.64	5.5	0.00688098825640377	0.00422042167045795	0.00437060929313946
3359141_AB_65260_S134	59.09	13	0.23	38	3.86982825883094	-0.00379891063260524	0.0289692532323253	0.747159988924805	0	NA	NA	HS0042	#008	RBGK	K001451934	Hordeum	spontaneum	14/05/1994	14	5	1994	Israel	NorthIsrael	Gilboa	EinHarod	32.56	35.39	Town level		2.1	0.976	NA	186	7	5.7	0	NA	NA
3359142_AB_65142_S135	93.36	11417398	0.34	55	4.01184429198096	0.0277469970858029	0.991400571968358	1.74911777985245e-146	0.00809927330767497	0.67176608521268	3.82993002848183e-06	HS0043	#008	RBGK	K001451925	Hordeum	spontaneum	08/05/1994	8	5	1994	Israel	NorthIsrael	Haifa	Damon	32.73	35.04	Town level		8	1.11	NA	191	4.23	3.45	0.00828630286159516	0.00375652289822887	0.00388933502419443
3359143_AB_65144_S136	96.84	10167223	0.34	52	3.96960150216184	0.0406262083059353	0.9940712570486	4.23979879016389e-151	0.00787822376732488	0.747261481931608	3.50176297748413e-07	HS0047	#008	RBGK	K001451923	Hordeum	spontaneum	07/05/1973	7	5	1973	Israel	Northern District	Upper Galilee	Rosh-Pina	32.97	35.54	Town level		5.9	31	NA	191	6.27	7	0.00802946189599348	0.00266324068688035	0.00272625785821787
3359144_AB_65183_S137	96.44	6516832	0.33	48	3.90018814822582	0.0405359740665664	0.998735290539257	1.83914972436829e-213	0.0048665544278008	0.629664659521792	1.33520818428273e-05	HS0050	#008	RBGK	K001451920	Hordeum	spontaneum	10/05/1994	10	5	1994	Israel	Jerusalem	Judean Hills	Motza	31.8	35.17	Town level		5.5	1.17	NA	186	0.385	0.574	0.00522586883136146	0.00454174822842172	0.0044421001719827
3359145_AB_65205_S138	88.22	2815648	0.32	49	3.90920773922569	0.0479694368992319	0.993184163430509	6.86830629787723e-158	0.00779716442901673	0.68771024290567	2.36469234183923e-06	HS0051	#008	RBGK	K001451919	Hordeum	spontaneum	13/04/1969	13	4	1969	Israel	NorthIsrael	Haifa	Ara	32.51	35.08	Town level		5.5	2.47	NA	183	0.397	0.974	0.00764646817427748	0.00276637842789172	0.00291734625328517
3359146_AB_65276_S139	1.17	133613	0.4	24	3.31612586736002	0.0648373478494951	0.935639785378285	8.93682772685436e-107	0.0182726573964084	0.509979119964758	0.000134205374994795	HV0023	#012	RBGK	K001451042	Hordeum	vulgare	27/08/1862	27	8	1862	UK	Wales	Gwynedd	Llanberis	53.12	4.13	Town level		3.6	0.949	NA	179	1.21	1.45	0.0183198205968604	0.0193348605101199	0.0190381020517191
3359147_AB_65160_S140	95.84	11421967	0.32	42	3.76714763406538	0.074899391504173	0.995438189629539	3.91931411321129e-175	0.00915576227860818	0.803617881153223	5.01836253075336e-08	HV0025	#012	RBGK	K001451046	Hordeum	vulgare	01/07/1866	1	7	1866	NA	NA	NA	NA	NA	NA	NA		10.2	4.45	NA	179	9.82	8.9	0.00985709772078116	0.00153251145335953	0.00160041948774946
3359148_AB_65277_S141	1.16	154666	0.33	37	3.62001595330032	0.0442386687364292	0.954203176837428	8.75266762243399e-120	0.0193172526573998	0.772662533342926	1.60423533856994e-07	HV0027	#012	RBGK	K001451048	Hordeum	vulgare	04/07/1882	4	7	1882	Switzerland	Vaud	NA	NA	46.62	6.55	Province level		4.4	0.989	NA	180	8.93	8.2	0.0179091339968854	0.0094466768988614	0.0095504143820665
3359149_AB_65196_S142	93.62	3478524	0.26	42	3.76042006817932	0.0754519916556807	0.989419321822907	4.28897808589152e-148	0.0156025515774955	0.828850219652101	1.51023098959833e-08	HV0040	#013	RBGK	K001453035	Hordeum	vulgare	1873	NA	NA	1873	Palestine	NA	NA	NA	32	35.25	Country level		9.8	1.82	NA	180	0.22	0.431	0.016081684036965	0.00301511963817466	0.00288678166891486
3359150_AB_65162_S143	92.86	4241231	0.25	40	3.71477825428993	0.0961965696513872	0.99147437442831	4.91646399255208e-155	0.0185218633895399	0.812058175407723	3.6821475812884e-08	HV0042	#013	RBGK	K001453033	Hordeum	vulgare	15/01/1886	15	1	1886	Palestine	Jennin	Jennin	NA	32.46	35.3	District level		11.8	1.5	NA	177	0.148	0.292	0.0199470041838192	0.00347784497995318	0.00333770021237796
3359151_AB_65197_S144	95.03	5522817	0.33	50	3.92075301323331	0.0453358464711861	0.990478837171457	2.06095812297831e-145	0.0119597119871619	0.666061813075693	4.70667613062822e-06	HV0043	#013	RBGK	K001453032	Hordeum	vulgare	15/01/1886	15	1	1886	Palestine	Jennin	Jennin	NA	32.46	35.3	District level		10.8	0.314	NA	184	0.311	0.471	0.0126425077711962	0.00226838829620314	0.00229116128780522
3359152_AB_65294_S145	96.51	5566127	0.29	40	3.70987376508197	0.0995791333782887	0.992311045000248	2.3545660517725e-158	0.0141705096029994	0.810942710172373	4.5158028194488e-08	HV0048	#013	RBGK	K001453047	Hordeum	vulgare	22/05/1883	22	5	1883	Turkey	Canakkale	Canakkale	NA	40.12	26.43	Province level		6.7	1.27	NA	177	0.126	0.204	0.0146271884000036	0.00212939358816686	0.00197141229935832
3359153_AB_65296_S146	95.65	6921618	0.33	45	3.82834816657326	0.0661568940961767	0.994290351818555	1.99115122300731e-163	0.0116525637496781	0.80826832638463	3.38147058250783e-08	HV0059	#013	RBGK	K001453063	Hordeum	vulgare	25/04/1982	25	4	1892	Iran	Kerman	Kerman	Kerman	30.29	57.07	Town level		7.9	1.28	NA	184	0.85	0.985	0.0122701944395393	0.00264744500366022	0.00266444325050262
3359154_AB_65237_S147	96.84	13366379	0.37	53	3.99095892332369	0.0360905789913759	0.993308476200486	9.36506599813034e-150	0.0112994066807993	0.678289858255125	3.22520354663983e-06	HS0096	#014	RBGK	K001451967	Hordeum	spontaneum	07/04/1958	7	4	1958	Iraq	Amarah	Amarah	Fakkeh	32.06	47.68	District level		6.5	0.73	NA	187	4.05	4.28	0.0110925744275719	0.00258378736534469	0.00272309410881182
3359155_AB_65209_S148	97.65	5239751	0.31	46	3.84501485799488	0.0646971395513355	0.995041557000106	1.56896675117654e-165	0.00665833595615678	0.866511259491601	1.2971896045065e-09	HS0097	#014	RBGK	K001451965	Hordeum	spontaneum	28/03/1957	28	3	1957	Iraq	Masyan	Kuwait	Jabal al Muafla	32.42	47.3	Town level		9	10	NA	182	3.03	4.69	0.00679665185901129	0.00185152235987849	0.00190060891496018
3359156_AB_65186_S149	97.65	8500920	0.33	48	3.88950641309176	0.0607384456004309	0.99569869091951	8.32029986800828e-163	0.0142259302430438	0.825084681682804	2.33951743497715e-08	HS0098	#014	RBGK	K001451964	Hordeum	spontaneum	21/04/1957	21	4	1957	Iraq	NA	NA	NA	33	44	Country level		5.4	12	NA	191	2.78	3.41	0.0141553155609584	0.00190118898803032	0.00202049565142865
3359157_AB_65210_S150	93.05	15790	0.28	40	3.70212377019046	0.0699250743327875	0.917064775911002	1.9020226987219e-82	0.0082047915982934	0.526099839657352	0.000153494491648572	HS0099	#014	RBGK	K001451973	Hordeum	spontaneum	21/06/1957	21	6	1957	Iraq	Sulaymaniyah	Qopi Quaradagh	NA	35.28	45.34	District level		6	11	NA	168	0.451	1.79	0.00750163078930202	0.00159638367903104	0.0019006509176122
3359158_AB_65211_S151	68.23	19079	0.14	51	3.95979358695096	0.0341278525682113	0.946597396110092	5.87781413051631e-91	0.0133303208314505	0.385071202448489	0.00147483804093668	HS0100	#014	RBGK	K001451972	Hordeum	spontaneum	04/06/1948	4	6	1948	Iraq	Nineveh	Gwiske	NA	36.78	43.95	District level		4.4	12	NA	165	0.0581	0.829	0.0103262145036376	0.00366710541683994	0.003159774173935
3359159_AB_65282_S152	94.43	12322095	0.28	43	3.77347681703334	0.0907205138921897	0.981678419644675	1.90236525506554e-130	0.0119856840394082	0.68893104644499	2.67090123167637e-06	HS0052	#015	RBGK	K001451918	Hordeum	spontaneum	22/05/1932	22	5	1932	Palestine	West Bank	Dara	NA	32	35.35	District level		6.9	0.746	NA	183	0.686	0.56	0.0137009206028498	0.00530885797679835	0.00497985961482924
3359160_AB_65262_S153	77.33	15006366	0.34	51	3.95283394923209	0.0459081566334813	0.988261275636956	3.72495097705271e-133	0.0210597966736481	0.793194194154344	8.21331705985276e-08	HS0079	#015	RBGK	K001451947	Hordeum	spontaneum	18/04/1943	18	4	1943	Syria	Homs	Tadmur	Palmyra	34.56	38.27	District level		3.6	1.78	NA	190	7.55	4.98	0.0213530227559959	0.00283851433533078	0.00294807615578408
3359161_AB_65264_S154	83.02	12081086	0.36	58	4.06013110916836	0.0301862966539875	0.988909355412092	4.00513138251278e-121	0.016188528533631	0.6675464100935	4.18998888156101e-06	HS0081	#015	RBGK	K001451945	Hordeum	spontaneum	15/04/1939	15	4	1939	Syria	Aleppo	Manbij	NA	36.09	37.93	District level		3.6	0.763	NA	193	6.19	3.79	0.0163566982459786	0.00299258521721676	0.0030126675891939
3359162_AB_65265_S155	95.98	18354915	0.31	46	3.85190204567416	0.0673602448374097	0.986517662906638	8.21427055708203e-133	0.015457047736084	0.772153622530766	1.81720592160519e-07	HS0084	#015	RBGK	K001451952	Hordeum	spontaneum	26/04/1945	26	4	1945	Jordan	Zarqa	Zarqa	Jebel Al Turno	32.05	36.1	District level		4.7	3.71	NA	184	10.4	6.9	0.0161562683667352	0.00307620745151047	0.00309063483131523
3359163_AB_65184_S156	80.88	25693729	0.34	56	4.03014830589331	0.0340151463860892	0.991585572823618	1.61317606992738e-130	0.0121587455340226	0.796389297178848	5.31326633535484e-08	HS0085	#015	RBGK	K001451951	Hordeum	spontaneum	17/04/1945	17	4	1945	Jordan	Jerash	Jersash	NA	32.28	35.9	District level		2.7	1.12	NA	194	4.81	1.49	0.0124129987827433	0.00301825105955359	0.00311407460149946
3359164_AB_65232_S157	97.78	7814075	0.28	39	3.69318768548501	0.0901533091049593	0.998594447093244	5.71570203197287e-213	0.0072008858931922	0.78942426009659	7.13528706108914e-08	HS0054	#016	RBGK	K001451915	Hordeum	spontaneum	21/03/1967	21	3	1967	Israel	SouthernDistrict	Dimona	Negev	31.04	35.2	Town level		7	4.86	NA	178	2.92	3.7	0.00726046664219659	0.00213630014431061	0.00218523549614009
3359165_AB_65261_S158	97.72	9433603	0.3	43	3.78858985330846	0.073590587274965	0.997968660950378	9.611128350096e-196	0.00614446033517706	0.743884079445613	4.10069718874967e-07	HS0055	#016	RBGK	K001451914	Hordeum	spontaneum	20/03/1967	20	3	1967	Israel	SouthernDistrict	Dimona	Negev	31.04	35.2	Town level		3.5	6.9	NA	183	3.19	3.54	0.00658313879441243	0.00212526978213802	0.00220135055197199
3359166_AB_65170_S159	97.25	9394363	0.31	44	3.80398682689868	0.0714414408727716	0.997555822215581	5.8625964251626e-190	0.0090262115941251	0.711639096905985	1.13458157480733e-06	HS0056	#016	RBGK	K001451913	Hordeum	spontaneum	24/04/1969	24	4	1969	Israel	UpperGalilee	MeronNatureReserve	Mt.Meron	32.99	35.41	Town level		4.7	7.8	NA	183	5.09	6	0.00935157166676959	0.00224750795499175	0.00225647146659042
3359167_AB_65152_S160	91.72	12359253	0.32	46	3.8399994155712	0.0704052214997719	0.99388785811434	4.42667249356508e-159	0.00740504651394116	0.680898828939087	2.84652285739892e-06	HS0111	#016	RBGK	K001451986	Hordeum	spontaneum	12/04/1947	12	4	1947	Iraq	Diyala	Kifri	Kifri	34.68	44.97	Town level		3.2	2.17	NA	184	3.46	2.77	0.0080003805077733	0.00249835081285498	0.00265782749782384
3359168_AB_65283_S161	97.89	7136706	0.3	43	3.79307420313378	0.0737246575877533	0.997407295237074	4.09997824259969e-188	0.00746855224033313	0.774764352307342	1.32688241534837e-07	HS0112	#016	RBGK	K001451985	Hordeum	spontaneum	02/04/1947	2	4	1947	Iraq	Saladin	NA	Mt. Makhul	35.11	43.43	Town level		5.9	11	NA	182	4.27	5.2	0.00791391204149436	0.00177227042623368	0.00183648104214084
3359169_AB_65172_S162	97.81	7482980	0.29	42	3.75896083738139	0.0825012296854747	0.99800117612533	3.00745669328353e-196	0.0105275896371133	0.787607519368298	8.14062366876929e-08	HS0113	#016	RBGK	K001451984	Hordeum	spontaneum	15/05/1947	15	5	1947	Iraq	Erbil	Soran	Mt. Hadrayn	36.58	44.61	Town level		5.3	11	NA	180	3.31	4.1	0.0110989400673765	0.00195641963221805	0.00201907458119462
3359170_AB_65239_S163	83.28	13890819	0.34	48	3.88636568472273	0.0710571331395672	0.9945258170763	2.02369606038679e-153	0.00843008794210224	0.710318636293794	1.17234979506841e-06	HS0114	#016	RBGK	K001451983	Hordeum	spontaneum	31/03/1950	31	3	1950	Iraq	Diyala	Baladrooz	NA	33.67	45.41	District level		6.7	3.02	NA	187	2.71	2.36	0.00972044063050436	0.00281048233103213	0.00310163613695425
3359171_AB_65240_S164	92.73	7303684	0.3	40	3.71669935371367	0.0849274757958241	0.999064670596974	5.39082855086027e-220	0.00848149857374409	0.798810920711877	5.46044323126657e-08	HS0115	#016	RBGK	K001451982	Hordeum	spontaneum	31/03/1950	31	3	1950	Iraq	Diyala	Baladrooz	NA	33.67	45.41	District level		5.1	8.3	2.3	179	1.73	2.44	0.00911895863509403	0.00190954564877252	0.00204534628925928
