Sample	Endogenous_fraction	NO_MERGED_READS	DUP_rate	MEDIAN_SIZE	Log_Mean	Lambda	Lambda_R_squared	Lambda_p_value	X5P_DMG_POS1	X5P_DMG_R_squared	X5P_DMG_p_value	Sample_ID	Batch_no	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Province	District	Town_Village	Latitude_DD	Longitude_DD	Accuracy	Altitude_m	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	3P_DMG_POS1	5P_other_freq	3P_other_freq
3308645_AB_64874_S14	1.02	217288	0.18	40	3.68819139888069	0.0655817240349989	0.899552750596502	9.37194614796756e-90	0.01620319200672	0.756048599486875	2.94822806924977e-07	HS0014	#004	RBGK	K001451897	Hordeum	spontaneum	01/08/1970	1	8	1970	Germany	Saxony-Anhalt	Salzlandkreis	Gatersleben	51.82	11.27	Town level		6.5	3.78	NA	186	10.2	14	0.016610495907559	0.0064808777275473	0.0065960344912524
3308646_AB_64887_S15	96.65	16887435	0.27	56	4.0370989312871	0.032965103616831	0.990684126386766	7.0091909355797e-134	0.00695482608493647	0.716876596654279	1.11096805139846e-06	HS0015	#004	RBGK	K001451896	Hordeum	spontaneum	02/05/1982	2	5	1982	Cyprus	SouthCyprus	Nicosia	Agrokipia	35.04	33.15	Town level		9.8	68	NA	192	15.8	28	0.00773322410877209	0.00234045748852316	0.00253749089665555
3308647_AB_64878_S16	93.58	19199704	0.25	48	3.89182576921403	0.0448961001841702	0.996081462990311	1.31192671770849e-177	0.00501030617501991	0.0333911203451361	0.770653887915339	HS0016	#004	RBGK	K001451895	Hordeum	spontaneum	27/03/1957	27	3	1957	Cyprus	Northern Cyprus	Lefke	Evrychoqu	35.08	32.88	Town level		6.4	15	NA	188	24	33	0.00637420877890955	0.0036766865319239	0.00375758103866866
3308648_AB_64888_S17	95.94	18245734	0.3	58	4.06382405444239	0.0231753673159611	0.994886759078234	1.60377427137398e-148	0.00634718225515071	0.803116885401523	3.88909883738408e-08	HS0017	#004	RBGK	K001411326	Hordeum	spontaneum	2015	NA	NA	2015	Cyprus	Nicosia	Agia Marina	NA	35.05	33.05	GPS		10.2	81	NA	191	11.9	20	0.00689844127332602	0.00376266472768109	0.00400233133145938
3308649_AB_64902_S18	1.17	266090	0.23	36	3.56415736787924	0.0858079216645369	0.93671020993718	2.04155534940291e-107	0.0198790826049813	0.736536859145889	4.95555424529891e-07	HS0018	#004	RBGK	K001451906	Hordeum	spontaneum	01/08/1970	1	8	1970	Germany	Saxony-Anhalt	Salzlandkreis	Gatersleben	51.82	11.27	Town level		6.8	5.2	NA	178	10.2	17	0.0186801154650121	0.00939080070628863	0.00932133929549124
3308650_AB_64907_S19	82.07	16433892	0.25	48	3.89170282287667	0.0452912456992154	0.997962955012662	1.17621366317245e-195	0.0104183260688543	0.794486667306355	5.70764302207216e-08	HS0019	#004	RBGK	K001451905	Hordeum	spontaneum	01/08/1970	1	8	1970	Germany	Saxony-Anhalt	Salzlandkreis	Gatersleben	51.82	11.27	Town level		7.7	24	NA	185	9.22	14	0.0101047044524481	0.00226428801284529	0.00234665584400169
3308651_AB_64908_S20	95.42	16902846	0.25	49	3.91393404085493	0.0513638623889206	0.997517143514873	4.91602657016821e-179	0.0119665296313248	0.772052398075717	1.48827132099875e-07	HS0020	#004	RBGK	K001451904	Hordeum	spontaneum	27/03/1936	27	3	1936	Cyprus	SouthCyprus	Aronas	Athalassa	35.13	33.41	Town level		11.3	28	NA	185	9.32	13	0.0110120977715538	0.0024700103113429	0.00249741736829954
3308652_AB_64879_S21	95.45	17130632	0.26	53	3.99039790933558	0.0332760567220312	0.998298115310639	3.45132386570986e-190	0.0114098839735481	0.733684003578421	5.55061352981694e-07	HS0001	#006	RBGK	K001451894	Hordeum	spontaneum	24/05/1957	24	5	1957	Turkey	Mardin	Savur	Savur	37.56	40.68	Town level		8.8	41	NA	188	13.8	39	0.0122076301344487	0.00242352392424008	0.00255646056343459
3308653_AB_64911_S22	95.43	25879267	0.3	57	4.05173421427272	0.02654619619135	0.995491965233904	2.26084671673747e-154	0.0101469914598914	0.694122616542914	1.93552541610254e-06	HS0003	#006	RBGK	K001451893	Hordeum	spontaneum	26/04/1965	26	4	1965	Turkey	Izmir	Cesme	Şifne	38.32	26.41	Town level		9.5	28	NA	192	16.2	44	0.0109619224902486	0.00247538429317009	0.00266742430155045
3308654_AB_64875_S23	92.69	18284161	0.25	53	3.98910108721617	0.0289530163785331	0.992820495214288	2.89968749010056e-156	0.0121226040083052	0.716899704242115	9.09429743738172e-07	HS0004	#006	RBGK	K001451892	Hordeum	spontaneum	06/05/1969	6	5	1969	Turkey	Canakkale	Canakkale	Canakkale	40.15	26.41	Town level		9.7	12	NA	187	17.3	41	0.0130401351407159	0.00366787348481672	0.00393187466609009
