Sample	Herbarium	Barcode	Genus	Species	Collection_date	Collection_day	Collection_month	Collection_year	Country	Latitude_DD	Longitude_DD	Tissue_weight_mg	DNA_concentration_QUANTUS_ng_ul	gDNA_DIN	gDNA_peak_size	gDNA_concentration_Tapestation	gDNA_peak2_size	gDNA_concentration2_Tapestation	Library_Peak_size	LIB_concentration_tapestation_ng_ul	LIB_concentration_QUANTUS_ng_ul	Endogenous_fraction	NO_MERGED_READS	DUP_rate	MEDIAN_SIZE	Average_size_merged	Log_Mean	Lambda	Lambda_R_squared	Lambda_p_value	5P_DMG_POS1	5P_DMG_R_squared	5P_DMG_p_value		
HRG0843	RBGK	K000631585	Oryza	rufipogon	10/09/1930	10	9	1930	Thailand	12.67	100.99	11	9.9	1	92	0.314	518	0.043	184	14.1	32	92.13	1827082	0.02	42	45	3.75793341	0.085630215	0.997032822	6.78E-184	0.026838123	0.772039645	1.70E-07		
HRG0844	RBGK	K000631586	Oryza	rufipogon	28/12/1929	28	12	1929	Thailand	14.59	100.46	9.1	5.1	1	99	0.103	901	0.183	183	18.3	40	90.26	2103954	0.02	42	45	3.760086873	0.081512813	0.997132958	5.73E-185	0.018828634	0.808662421	3.32E-08		
HRG0848	RBGK	K000631590	Oryza	rufipogon	22/11/1927	22	11	1927	Thailand	13.08	100.89	14.1	21	-	105	0.324	-	-	182	16.5	39	90.72	2031972	0.02	42	45	3.763210189	0.091091867	0.994692782	1.03E-165	0.018832997	0.756080114	2.75E-07		
HRG0850	RBGK	K000682204	Oryza	rufipogon	25/11/1988	25	11	1988	Thailand	14.73	102.16	9.4	14	1.1	322	0.726	540	0.345	188	19.9	48	91.32	2072950	0.02	48	52	3.886297488	0.056075689	0.990366289	4.75E-145	0.014688113	0.768153176	1.65E-07		
HRG0851	RBGK	K000682205	Oryza	rufipogon	25/11/1988	25	11	1988	Thailand	14.73	102.16	9.1	6.4	1.2	199	0.165	-	-	189	19.8	53	91.48	2481536	0.02	46	49	3.844689405	0.066765096	0.995964357	1.75E-169	0.014440181	0.805564768	3.46E-08		
HRG0852	RBGK	K000682206	Oryza	rufipogon	25/11/1988	25	11	1988	Thailand	14.61	103.12	8.2	8.4	1	239	0.403	-	-	194	19.2	44	90.74	1825671	0.02	52	58	3.988571479	0.044195148	0.995138028	1.48E-154	0.01558102	0.748360313	3.30E-07		
HRG0853	RBGK	K000682207	Oryza	rufipogon	26/11/1988	26	11	1988	Thailand	14.88	103.49	11.5	14	1	203	0.284	-	-	191	19.4	48	87.61	2147584	0.01	47	51	3.878734653	0.063376901	0.995822898	1.13E-163	0.019280398	0.800805913	4.43E-08		
HRG0854	RBGK	K000682210	Oryza	rufipogon	23/01/1955	23	1	1955	Thailand	13.79	100.5	8.7	8	1.3	197	0.361	-	-	180	4.92	13	88.97	2082706	0.02	41	43	3.732680868	0.090552701	0.998464591	1.70E-204	0.024284521	0.791121294	1.03E-07		
HRG0855	RBGK	K000682212	Oryza	rufipogon	11/11/1961	11	11	1961	Thailand	13.87	99.15	6.4	6.2	1.6	271	0.191	-	-	180	5.73	14	91.9	2415065	0.02	40	42	3.709139766	0.082661137	0.998313641	4.08E-207	0.018395142	0.709205455	1.27E-06		
HRG0858	RBGK	K000682218	Oryza	rufipogon	06/11/1984	6	11	1984	Thailand	14.05	101.37	9.9	9.2	1.4	300	-	619	0.294	180	4.17	13	92.46	2468368	0.02	43	46	3.786943112	0.075605678	0.996974343	2.76E-183	0.015469483	0.692417189	2.02E-06		
HRB0114	NYBGUS	1758830	Oryza	latifolia	17/10/1960	17	10	1960	Mexico	21.15	-104.956	4.8	2.54	-	154	0.0906	-	-	183	15.6	21	95.64	9473499	0	46	49	3.844163948	0.063887593	0.994942865	6.36E-165	0.017874144	0.798677993	5.11E-08		
HRB0118	NYBGUS	NA	Oryza	latifolia	13/07/1971	13	7	1971	Panama	8.113	-77.701	6.2	3.73	1.4	225	0.0718	-	-	183	19.8	21	94.02	9298017	0	47	52	3.887382384	0.054913642	0.992019088	7.46E-151	0.015379242	0.750834467	3.06E-07		
HRB0119	NYBGUS	NA	Oryza	latifolia	07/06/1976	7	6	1976	Costa Rica	9.605	-82.795	8.1	5.7	1.4	255	0.417	-	-	181	15	15	94.69	9335280	0	47	52	3.881992466	0.062323167	0.993278718	1.27E-149	0.013658885	0.766518525	1.74E-07		
HRB0121	NYBGUS	1604484	Oryza	latifolia	11/08/1903	11	8	1903	Haiti	19.812	-72.431	4.3	1.57	-	49	0.137	-	-	183	24.6	22	95.02	9384661	0	44	48	3.815467248	0.069064879	0.995574336	2.15E-171	0.023128926	0.817807349	2.47E-08		
HRB0123	NYBGUS	651825	Oryza	latifolia	17/04/1912	17	4	1912	Brazil	-24	-47	5.4	1.95	1	119	0.08	-	-	182	23	20	81.46	8029606	0.01	44	49	3.812205898	0.063330341	0.997032856	6.78E-184	0.024783732	0.724405283	7.69E-07		
HRB0128	NYBGUS	2618212	Oryza	latifolia	31/03/1953	31	3	1953	Venezuela	2.94	-65.37	8.6	3.29	1	189	0.301	494	0.356	184	17.4	14	93.33	9173699	0	46	50	3.855823883	0.062462267	0.993753656	2.07E-158	0.015722529	0.755255094	2.64E-07		
HRB0133	NYBGUS	NA	Oryza	latifolia	15/01/1918	15	1	1918	Colombia	7	-74	14.6	2.43	1.5	145	0.0515	902	0.222	178	24.3	19	87.41	8338737	0	46	53	3.86307952	0.056567034	0.997179444	1.76E-185	0.034008395	0.781857816	1.77E-07		
HRB0134	NYBGUS	NA	Oryza	latifolia	20/12/1990	20	12	1990	Colombia	8.2	-76.6	7.9	5.2	1	209	0.397	-	-	175	10.1	11	95.03	9227395	0	45	50	3.818268674	0.071044275	0.995636528	1.79E-169	0.012638089	0.805857564	3.40E-08		
HRB0142	NYBGUS	NA	Oryza	latifolia	21/06/1963	21	6	1963	Trinidad	10.3	-61.07	7.4	3.56	1.7	-	-	-	-	181	15.4	17	94.41	9309685	0	47	51	3.875517089	0.051747941	0.994332045	1.17E-163	0.011589359	0.804334626	3.64E-08		
HRB0145	NYBGUS	NA	Oryza	latifolia	25/07/1988	25	7	1988	Peru	-3.69	-73.26	7.1	5.2	1.3	308	0.286	564	0.445	181	13.6	26	85.21	8373940	0.01	44	50	3.825680125	0.058853308	0.995936172	4.64E-174	0.018654411	0.722420745	8.99E-07		
